X,Y,OBJECTID,BUSINESS_ID,NAME,ADDRESS,CITY,STATE,POSTAL_CODE,LATITUDE,LONGITUDE,PHONE_NUMBER,SHAPE
2106764.82461557,742445.646862388,4003737,09DD3249-C3D9-D51B-CDC29F7B05CA93DF,NIGHT KITCHEN BAKERY,10 W FRANKLIN STREET,RALEIGH,NC,27604,35.78943809,-78.64000247,19842328907,
2065085.3699169,722753.249895543,4003738,09F0350C-DCDB-B721-22A3A56A050176ED,Harris Teeter #257 Starbucks,2080 Kildaire Farm RD ,CARY,NC,27518,35.73567118,-78.78068643,19192339483,
2106943.37347107,739815.172136471,4003739,0A13BA57-C174-0E85-6B07EA03485E77D6,ACRO CAFE,11 W JONES ST ,RALEIGH,NC,27601,35.78220966,-78.63943264,19197337450,
2087966.03347306,767618.638511047,4003740,0A34A22A-1422-201B-19C3CA251CE423A7,BRUEGGERS BAGELS #24,6274 GLENWOOD AVE ,RALEIGH,NC,27612,35.85876533,-78.70313537,19198812626,
2095166.39669698,778792.411110967,4003741,0A45A024-1422-201B-19D5ABA79D67ACF5,BRUEGGERS BAGELS #143,7550-106 CREEDMOOR RD ,RALEIGH,NC,27613,35.88940031,-78.67871396,19198484902,
2044257.51524723,721607.864391044,4003742,0AAFCC59-CA38-9890-89731E940F61BA1F,Cantina 2 twenty five,225 N. SALEM STREET,APEX,NC,27502,35.73263061,-78.85087425,19194463366,
2047256.13293764,766178.558714047,4003743,0ADF44D6-945D-E172-89AC65F2DFE2C98B,HYATT HOUSE FOOD SERVICE,10962 CHAPEL HILL RD ,MORRISVILLE,NC,27560,35.85506616,-78.84052916,19193885355,
2066046.44804724,787754.651388541,4003744,0AF8005B-CE16-CCE0-932AFBE166566596,WING STOP #816,7880 ALEXANDER PROMENADE PLACE,RALEIGH,NC,27617,35.91424048,-78.77695584,19192373919,
2033120.07787648,762185.555217132,4003745,0A0205D6-9B17-15A1-A3CE3BE3FCCB54EA,TAZIKI'S RTP,7161 O'KELLY CHAPEL ROAD,CARY,NC,27519,35.8441495,-78.8882479,19193712693,
2111261.58629131,773230.887785211,4003746,0B0F9737-D86D-0F22-B093900D48E2C603,SMASHBURGER,6679-105 FALLS OF NEUSE ROAD,RALEIGH,NC,27615,35.87396657,-78.62444739,19198709230,
2103927.71906932,722642.546048716,4003747,0B381E71-ADE8-82F3-FC739593FA1C1AC3,Bojangles #5,3301 S Wilmington ST ,RALEIGH,NC,27603,35.73506094,-78.6498043,19197724512,
2049147.1951004,687615.314594135,4003748,0B2C513A-A8D1-22A5-27B591901FCF70F5,CHICK-FIL-A #2181,801 VILLAGE WALK  DR ,HOLLY SPRING,NC,27540,35.63921896,-78.83458935,19195670060,
2068154.48385739,757518.624590382,4003749,0B61CA48-DE79-9641-365232D17ECEDF22,TROPICAL SMOOTHIE 020 NC,817 BASS PRO LN ,CARY,NC,27513,35.83116267,-78.77007336,19193789333,
2105001.03024289,718538.390871212,4003750,0B8CAD6F-9F39-6789-01B377329CF62C1A,MoonRunners Saloon,1506 US 70 HWY W ,GARNER,NC,27529,35.72377502,-78.64623698,19196625119,
2113923.3962564,764438.431944966,4003751,0B4D3655-9183-E0D4-0A8CDF1A87CBBD98,TIJUANA FLATS #138,1310 E MILLBROOK RD ,RALEIGH,NC,27609,35.84978391,-78.61557773,19197906409,
2138196.77651532,800300.888763219,4003752,0B9E3D12-B11A-1C55-EB0FCC2E3CD46B23,EURO CAFE,2101 S MAIN ST ,WAKE FOREST,NC,27587,35.94801797,-78.53310175,19197615002,
2129823.36019132,807912.767240211,4003753,0C5157D2-CADC-8E92-01BEB1637A2B053F,Keith's BBQ and Catering,13037 Keith Store  RD ,WAKE FOREST,NC,27587,35.96903347,-78.56127733,19196186211,
2118374.31287947,759528.079889044,4003754,0CE3979B-A039-CFC3-6B304DD3542E0063,TAQUERIA CINCO DE MAYO,2259 New Hope Church RD ,RALEIGH,NC,27604,35.83624582,-78.60062541,19194224933,
2098864.24002306,741788.734134212,4003755,0CE827B2-FB6C-25E8-380B5FB77583D6F5,Dunkin Donuts-Baskin Robbins PC#342343,2316 Hillsborough St Ste 106,RALEIGH,NC,27607,35.78770917,-78.66664947,19198385255,
2092358.25073849,744012.042351633,4003756,0CF9098D-D402-284E-2FA0C5F24F9614D3,JASMIN BISTRO,3801 HILLSBOROUGH ST ,RALEIGH,NC,27607,35.79387526,-78.6885627,19198351626,
2111840.36531748,771509.99293305,4003757,0D049F23-D914-645B-5BBE16D45F81FC73,TENKO JAPAN,6325 FALLS OF NEUSE  RD ,RALEIGH,NC,27615,35.86923291,-78.62251588,19198764545,
2076509.02489106,729388.927240968,4003758,0D0D9797-A3E9-42A7-C99E0AF1DFCD579A,WILD WING CAFE,2300 WALNUT  ST ,CARY,NC,27518,35.7538261,-78.74213502,19198030578,
2096007.20210198,727355.345350131,4003759,0D17A191-EA58-02A6-1C12593EEF72A0B7,Pruitt Health - Raleigh Dining,2420 Lake Wheeler RD,RALEIGH,NC,27603,35.74808234,-78.67644139,19197550226,
2102976.8492519,717302.600691885,4003760,0D71A75D-D665-A0EF-807BCD025AE2BAEC,BISCUITVILLE #184,4305 FAYETTEVILLE RD ,RALEIGH,NC,27603,35.72039952,-78.65307122,19198038112,
2059535.62871981,697953.657106385,4003761,0CEBE91D-EDAB-D86D-EBC7B29B3EBEF7EF,LITTLE HEN,5160 SUNSET LAKE  RD ,APEX,NC,27539,35.66756996,-78.79955568,19193630000,
2101283.78439656,745482.461654887,4003762,0D86CC38-90AB-504B-CFE662D40469FA11,Zoes Kitchen,1028 OBERLIN RD ,RALEIGH,NC,27605,35.79783425,-78.65844846,19198380909,
2119024.24694706,726574.664824888,4003763,0F37B006-D4E2-7054-55DA2C161E83A4F1,FRESH AND FRY SEAFOOD,2822 NEW BIRCH  DR ,RALEIGH,NC,27610,35.74570676,-78.5988819,19196152898,
2102879.93573181,722487.56604372,4003764,0F4A8769-E8E3-7D8E-4F40C8675263904D,THE LATIN CORNER,421 CHAPANOKE RD ,RALEIGH,NC,27603,35.73464526,-78.65333672,19192648584,
2124701.45868973,772062.67489855,4003765,0F7B6ECB-A771-FCF4-C152187E370E220E,Crazy Fire Mongolian Grill #8,7201 Old Wake Forest RD ,RALEIGH,NC,27616,35.87060915,-78.57909965,19198769000,
2126066.65609056,705942.93738763,4003766,0FCF1A50-B262-BB45-84CBD85EF5804DB5,Shuck'em Shack,1177 TIMBER DR E ,GARNER,NC,27529,35.68894411,-78.57544624,19197727035,
2086869.88245015,755487.62701197,4003767,0FECEB45-B2AE-76E8-77671B9858BA5FD6,"""Rudinos's Pizza &amp; Grinders Sports Corner""",3101-101 EDWARDS MILL RD ,RALEIGH,NC,27612,35.82544758,-78.70695545,19197864235,
2065062.94345257,747880.302003548,4003768,10059478-C540-1703-0F2CFAA3AD7FFDD8,BRAVO'S MEXICAN GRILL,208 GRANDE HEIGHTS DR ,CARY,NC,27513,35.80470293,-78.78057485,19194813811,
2065945.04306631,724255.397481799,4003769,05F4A2BC-9EA6-C527-77B0AB8B1405469E,FRESCA CAFE' AND GELATO,302 COLONADES  WAY ,RALEIGH,NC,27518,35.73979283,-78.77777833,19198518171,
2122883.49185322,755232.192155376,4003770,100B15EA-15E7-74FA-752DECAD5927606A,PHO CALI,3310 CAPITAL  BLVD ,RALEIGH,NC,27604-3340,35.82439324,-78.5854729,19198787898,
2050192.10770872,686535.692409545,4003771,100F694A-86A1-1842-7C1118D2F49043EE,MCDONALDS #32242,7100 GB ALFORD HWY ,HOLLY SPRINGS,NC,27540,35.63624795,-78.83107876,19195524071,
2068466.87234023,757129.439017043,4003772,0F8E60EF-FA47-2FA8-36EBB349C4007C6F,FIREWURST,823 BASS PRO  LN ,RALEIGH,NC,27513,35.83009149,-78.76902254,19192340822,
2064182.66798215,747809.604310304,4003773,102567C8-158A-D963-9E3C131A45EECF63,Arby's #6554,1031 Harrison AVE ,CARY,NC,27513,35.80451401,-78.78354409,19194691887,
2107935.68743131,738482.71810846,4003774,10260,ROLY POLY,201  E HARGETT ST ,RALEIGH,NC,27601,35.77853909,-78.63610348,111111111111111,
2121814.90737623,785799.087714374,4003775,10127DC9-0238-9FD7-DCABFDBB56041886,UNCORKED,105-111 SHADOWLAWN DR ,RALEIGH,NC,27614,35.90837869,-78.58865029,111111119198,
2069783.3605209,757060.342370465,4003776,10268,Umstead Hotel & Spa Pool Bar,100 Woodland Pond DR ,CARY,NC,27513,35.82989317,-78.76458185,111111111111111,
2130977.33655789,798501.753253877,4003777,0D781320-0196-91B6-45AA697DB1F4C78C,DUNKIN DONUTS 348408,13600 NEW FALLS OF NEUSE RD ,RALEIGH,NC,27614,35.94316638,-78.55751941,19195560335,
2053146.04176147,732910.716785297,4003778,102BD5D6-9918-1501-C0F310627A616BAB,GOLDEN CHINA CHINESE RESTAURANT,2432 SW CARY PKY ,CARY,NC,27513,35.76364284,-78.82085568,19193807891,
2060436.76208815,697673.82958205,4003779,1030ABD8-A8BB-ED7D-5D3813B21B3A6BF4,Rudino's,5217 Sunset Lake RD ,HOLLY SPRINGS,NC,27540,35.66679612,-78.79652369,111111111919,
2087966.03347306,767618.638511047,4003780,104FD68A-10FF-100C-00D0DB759282A0B7,GINO'S PIZZA,6260 GLENWOOD AVE ,RALEIGH,NC,27612-2650,35.85876533,-78.70313537,19197837555,
2067694.76036739,783686.547648132,4003781,10526,Capital Cabaret,6713 Mt Herman  RD ,MORRISVILLE,NC,27560,35.9030544,-78.77142101,111111111111111,
2104468.89580847,740970.050076053,4003782,10561,C. GRACE,407 GLENWOOD AVE ,RALEIGH,NC,27603,35.78540684,-78.64776164,111111111111111,
2075875.30863881,729171.076626793,4003783,10626B94-E736-E0A3-C0AAC0FC7FDC80D8,"""CAPPOLLA'S PIZZA &amp; GRILL""",2462 WALNUT ST ,CARY,NC,27518,35.7532321,-78.74427277,19198547777,
2091769.88282073,744216.924159721,4003784,1071EE5E-1226-9DA3-B05A180D943822C3,WAFFLE HOUSE #378,3909 HILLSBOROUGH ST,RALEIGH,NC,27607-5217,35.79444318,-78.69054455,19198331247,
2111379.34950723,773732.786059633,4003785,106E3C03-EFF1-EF8E-D1429DE4181BAB2F,Chick-fil-A #792,6701 FALLS OF NEUSE RD ,RALEIGH,NC,27615-5373,35.87534416,-78.62404348,19198454556,
2124054.74377581,759329.260076717,4003786,10799,FLASHBACKS SPORTSBAR & LOUNGE,4004 CAPITAL BLVD ,RALEIGH,NC,27604,35.83563533,-78.58146366,111111111111111,
2066379.21509823,743348.687051043,4003787,107A6D1D-103F-C532-FBE5DA646999368F,KOKO's Italian Kitchen,8306 Chapel Hill RD ,CARY,NC,27513,35.79224525,-78.77617019,19194613882,
2107420.93419573,737773.59387055,4003788,108727C3-DF68-9215-BAE94296FF9EDA15,CLYDE COOPER'S BARBECUE,327 S WILMINGTON ST ,RALEIGH,NC,27601,35.7765961,-78.63784764,19198327614,
2081459.60783765,682570.22560297,4003789,1089EAE9-91A5-E568-D745DD9818CEB333,NEW RAINBOW CHINESE RESTAURANT,3427 N Main ST ,FUQUAY-VARINA,NC,27526,35.62516146,-78.72588545,19195678272,
2065062.94345257,747880.302003548,4003790,10972,THE GREAT,243 GRANDE HEIGHTS  DR ,CARY,NC,27513,35.80470293,-78.78057485,111111111111111,
2052783.08907531,766741.7888868,4003791,10AAB7A0-568B-ED86-1C7A14F3077A78C9,Daly Cafe and Pub at Holiday Inn,930 Airport BLVD ,MORRISVILLE,NC,27560,35.85658767,-78.82187449,19194651910,
2091017.85479723,752341.364931792,4003792,10B95BE1-C6ED-6ED7-77651B9EDEF0A73C,RANDY'S PIZZA,2458 WYCLIFF RD ,RALEIGH,NC,27607,35.81676957,-78.69299571,19193225990,
2082034.09290914,682380.897569552,4003793,10B98070-D0B7-842B-F98616B45457ED55,HWY 55 BURGERS SHAKES & FRIES,3421 N MAIN ST ,FUQUAY VARINA,NC,27526,35.62463692,-78.72395407,111111111111111,
2152885.43906707,741698.773356125,4003794,10D20211-F51D-C965-289835667F477C67,MASSEY'S OLE TIMEY HOT DOGS,107 S FIRST AVE ,KNIGHTDALE,NC,27545,35.7868275,-78.48450501,,
2044901.72885381,743059.000950634,4003795,10CCCF7C-1447-1195-3E3A106F4313A94F,RED BOWL ASIAN BISTRO,2020 BOULDERSTONE WAY ,CARY,NC,27519,35.79156092,-78.84859333,19193889977,
2089997.39259931,697591.387161627,4003796,10D8C2DC-15E0-B1E5-8A51E3137020AC26,SMITHFIELD'S CHICKEN'N BAR-B-Q,7911 FAYETTEVILLE RD ,RALEIGH,NC,27603,35.66636244,-78.69700138,19196619151,
