OBJECTID,BUSINESS_ID,SCORE,DATE_,DESCRIPTION,TYPE
39073642,C79C3F09-5056-A20B-FA2FBD2D5D8F8C50,96.5,2018/11/26 00:00:00+00,,routine
39073643,A514002E-AF0F-38D2-1EAD91EF1380AAFC,97,2018/11/26 00:00:00+00,,routine
39073644,581C68B0-C10E-B324-2E1BC857D5B20CE5,97.5,2018/11/26 00:00:00+00,,routine
39073645,193677FB-AA9D-CFFE-E626122C5F6C331D,92.5,2019/08/26 00:00:00+00,,routine
39073646,495341,90,2019/09/11 00:00:00+00,,routine
39073647,D96A9C27-BFF8-7554-D7EFBA741B6C722C,90.5,2019/09/11 00:00:00+00,,routine
39073648,AE1442A9-5056-A20B-FAE4EDB428BA87B9,98,2018/12/17 00:00:00+00,,routine
39073649,500348,98.5,2018/12/17 00:00:00+00,,routine
39073650,092CE332-5056-A20F-9E7DFF0F18022DB7,98.5,2018/12/17 00:00:00+00,,routine
39073651,3B69E29D-94F4-B972-396E696B95BE9A80,90,2018/12/18 00:00:00+00,,routine
39073652,499745,91,2018/12/18 00:00:00+00,,routine
39073653,9F249CF8-5056-A20F-9E665E153C9DD3DE,90.5,2018/12/18 00:00:00+00,,followup
39073654,12C14274-1670-122A-ED39C62237E611D7,95,2018/12/18 00:00:00+00,,routine
39073655,1B300C79-C3AF-D6DE-0411D4101F33E68C,95.5,2018/12/18 00:00:00+00,,routine
39073656,12ECC03D-5056-A20B-FA17359351256942,96,2018/12/18 00:00:00+00,,routine
39073657,494684,96,2018/12/18 00:00:00+00,,routine
39073658,495434,96,2018/12/18 00:00:00+00,,routine
39073659,683DD75A-D90B-06DE-AF0C2A94AE9606D3,97.5,2018/12/18 00:00:00+00,,routine
39073660,E0F66D30-95A0-5F1E-6803DF7B4D9628C8,97.5,2018/12/18 00:00:00+00,,routine
39073661,3A42EBA5-E40F-DF58-19D91C836EE058E9,98,2018/12/18 00:00:00+00,,routine
39073662,149EF004-DBC1-A1D4-C9EDABAABF1D0E73,98,2018/12/18 00:00:00+00,,routine
39073663,14EA1C20-5056-A20B-FAD15564C87C93AA,98,2018/12/18 00:00:00+00,,routine
39073664,500483,98,2018/12/18 00:00:00+00,,routine
39073665,501272,99,2018/12/18 00:00:00+00,,routine
39073666,B169D8F3-5056-A20B-FAF66E2E72E87F9B,99,2018/12/18 00:00:00+00,,routine
39073667,499748,91.5,2019/01/03 00:00:00+00,,routine
39073668,2472E01F-5056-A20B-FA54FA0BB81D7BEC,86.5,2018/12/20 00:00:00+00,,routine
39073669,2472E01F-5056-A20B-FA54FA0BB81D7BEC,,2018/12/20 00:00:00+00,,routine
39073670,2FAB0411-D5D9-FA14-D5E37330B1DBE024,88.5,2018/12/20 00:00:00+00,,routine
39073671,494901,93,2019/01/03 00:00:00+00,,routine
39073672,DB6881D2-5056-A20F-9EA6FBC17B6C6FAB,94,2019/01/03 00:00:00+00,,routine
39073673,7C287FAE-C4DE-90CA-9AD12FB17B153053,93,2018/12/19 00:00:00+00,,routine
39073674,508804,93,2018/12/19 00:00:00+00,,routine
39073675,DA8F7FFF-5056-A20F-9E96399838811FCA,93,2018/12/19 00:00:00+00,,followup
39073676,A93E3218-C3DA-C421-1261E6644D1AD6EA,93.5,2018/12/19 00:00:00+00,,routine
39073677,97B4FB96-88FB-899E-6FFC146BCEBA4918,94,2018/12/19 00:00:00+00,,routine
39073678,9EBD3E52-FA0E-63AA-FFD88B18CCAC2B3A,94.5,2018/12/19 00:00:00+00,,routine
39073679,B8D37A1B-F32D-C2A1-55CC0A1F0C073101,94.5,2018/12/19 00:00:00+00,,routine
39073680,58BA67AC-0B3C-B28C-7F6FC1696A5A1164,94.5,2018/12/19 00:00:00+00,,routine
39073681,498463,95,2018/12/19 00:00:00+00,,routine
39073682,500401,95,2018/12/19 00:00:00+00,,routine
39073683,FD3C9344-5056-A20F-9EC8A5053F7FEC3C,95,2018/12/19 00:00:00+00,,routine
39073684,67D7EE5C-B1C4-5453-18220B7A994B16DA,95.5,2018/12/19 00:00:00+00,,routine
39073685,146ADAE0-AAC4-D8A1-E80B7560649D44ED,96,2018/12/19 00:00:00+00,,routine
39073686,A34DAE70-97C1-382F-3866DC65CA73C43E,96,2018/12/19 00:00:00+00,,routine
39073687,18AF645A-941C-4CD7-C3469308FC54E0E2,96.5,2018/12/19 00:00:00+00,,routine
39073688,2BD9937F-B211-0153-F8245FA6850A6D85,96.5,2018/12/19 00:00:00+00,,routine
39073689,B1BCAD9F-1422-201B-1989A09AA111363B,96.5,2018/12/19 00:00:00+00,,routine
39073690,EA520BBA-5056-A20B-FA61EBE9A70AA6B4,97,2018/12/19 00:00:00+00,,routine
39073691,422A84F3-5056-A20F-9EFC19ED3D4ACCE1,97,2018/12/19 00:00:00+00,,routine
39073692,500340,97,2018/12/19 00:00:00+00,,routine
39073693,3A1103B9-DBD8-36C5-8ECE97BE9CA05961,97.5,2018/12/19 00:00:00+00,,routine
39073694,495007,97.5,2018/12/19 00:00:00+00,,routine
39073695,812578E2-13D4-D73C-EC0E12792E47A294,97.5,2018/12/19 00:00:00+00,,routine
39073696,CC9C38AE-5056-A20B-FABFD2AF3B2A1B59,97.5,2018/12/19 00:00:00+00,,routine
39073697,496656,98,2018/12/19 00:00:00+00,,routine
39073698,FF3402BC-EAD1-489B-8C6FADEB437707AF,98,2018/12/19 00:00:00+00,,routine
39073699,4897FC80-B9F8-1AB8-EC8EB737D319E394,98.5,2018/12/19 00:00:00+00,,routine
39073700,499563,98.5,2018/12/19 00:00:00+00,,routine
39073701,500957,89,2018/12/20 00:00:00+00,,routine
39073702,340FB9D2-1422-201B-198FB6B5B3878B95,94.5,2018/12/20 00:00:00+00,,routine
39073703,527914,94.5,2018/12/20 00:00:00+00,,routine
39073704,8D71C1CC-C592-2A12-C5337491D090F761,94,2018/12/28 00:00:00+00,,routine
39073705,B2D84194-E375-84CE-2900B754AB4777C5,90,2018/12/20 00:00:00+00,,routine
39073706,FF085A3D-DC98-E4CF-79262C24B0DD7304,90.5,2018/12/20 00:00:00+00,,routine
39073707,505EB10A-9AC6-57CA-E37480E9C9CB6A8E,92,2018/12/20 00:00:00+00,,routine
39073708,672BF2CC-E883-EE02-B963DD1A5AC57D60,93,2018/12/20 00:00:00+00,,routine
39073709,496561,92.5,2018/12/20 00:00:00+00,,routine
39073710,EB7A9DBF-5056-A20F-9EDC85B7814BE1A3,93,2018/12/20 00:00:00+00,,routine
39073711,68E8BC26-91A9-1674-B0FD158409AE27B6,93.5,2018/12/20 00:00:00+00,,routine
39073712,E5640492-10B3-8BC7-ABCB103226CABA6A,93.5,2018/12/20 00:00:00+00,,routine
39073713,503754,93.5,2018/12/27 00:00:00+00,,routine
39073714,3B54D916-5056-A20B-FA26D0E547AFBDE4,99,2018/12/27 00:00:00+00,,routine
39073715,496027,96,2019/01/09 00:00:00+00,,routine
39073716,09D1F2AB-5056-A20B-FAC07A5290E94938,96.5,2018/12/18 00:00:00+00,,routine
39073717,9F2FC456-D890-54A1-076DA0A9983177E8,94.5,2018/12/20 00:00:00+00,,routine
39073718,9F43DFA3-3048-94EE-98689E98E9D7A293,94.5,2018/12/20 00:00:00+00,,routine
39073719,A9342359-F02F-5E6F-18245DCD2D6AC023,95,2018/12/20 00:00:00+00,,routine
39073720,EB89FA16-5056-A20F-9EC581A78C784F5C,95.5,2018/12/20 00:00:00+00,,routine
39073721,CCDF0DE7-05FD-F1BE-5A228A476EFADFEE,95.5,2018/12/20 00:00:00+00,,routine
39073722,9B883342-5056-A20F-9EF23FA57AAC65EB,96,2018/12/20 00:00:00+00,,routine
39073723,55B2905F-5056-A20B-FA9315D38FCF9723,96,2018/12/20 00:00:00+00,,routine
39073724,97EDD74B-5056-A20B-FAEF05C6B7CE353A,96,2018/12/20 00:00:00+00,,routine
39073725,496898,96.5,2018/12/20 00:00:00+00,,routine
39073726,869000E7-5056-A20B-FA42A7EA56515803,97,2018/12/20 00:00:00+00,,routine
39073727,A5A10BF4-1209-BE40-9C74729E171F393D,97,2018/12/20 00:00:00+00,,routine
39073728,7D0B2189-D9C9-1FA1-E3BF8A24D3C0476F,97,2019/09/16 00:00:00+00,,routine
39073729,B0E01AAA-5056-A20B-FA4FA5754FE64460,97,2018/12/20 00:00:00+00,,routine
39073730,495484,98,2018/12/20 00:00:00+00,,routine
39073731,C1E00828-5056-A20B-FA861FFCAEBF735A,98,2018/12/20 00:00:00+00,,routine
39073732,85C6FFE6-928B-01E4-E21348A290CA46C8,98.5,2018/12/20 00:00:00+00,,routine
39073733,B299DB38-5056-A20B-FA3829604E9F3D83,99.5,2018/12/20 00:00:00+00,,routine
39073734,956A862B-E448-7C40-A49F3655435B0FA9,91,2018/12/27 00:00:00+00,,routine
39073735,508970,92,2018/12/27 00:00:00+00,,routine
39073736,5B528A8E-B6A2-1FCC-6B53928D8BBE1B0F,93,2018/12/27 00:00:00+00,,routine
39073737,98DA6FA5-B975-C2BB-4A9073EDF8BB0F94,94.5,2018/12/27 00:00:00+00,,routine
39073738,E6A90989-5056-A20F-9ED089A602666A59,95,2018/12/27 00:00:00+00,,followup
39073739,F446E29B-3048-9838-60DC885717AD91C1,99,2019/12/09 00:00:00+00,,routine
39073740,496150,95.5,2019/12/19 00:00:00+00,,routine
39073741,1B8EA9AA-5056-A20F-9EF8E9C0858FB080,94,2020/01/22 00:00:00+00,,routine
39073742,4051EFEF-5056-A20B-FA0E8F2B9558F267,97.5,2020/02/17 00:00:00+00,,routine
39073743,495584,97.5,2020/02/17 00:00:00+00,,routine
39073744,499855,97.5,2020/02/17 00:00:00+00,,routine
